Name,Count
BELLA,1195
MAX,1153
CHARLIE,856
COCO,852
ROCKY,823
LOLA,795
LUCKY,723
LUCY,710
BUDDY,677
DAISY,649
PRINCESS,603
BAILEY,532
MOLLY,519
TEDDY,485
CHLOE,465
TOBY,446
LUNA,432
JACK,425
MAGGIE,393
OREO,383
SOPHIE,383
LILY,381
OLIVER,367
MILO,355
GIZMO,354
LADY,351
GINGER,344
MIA,344
PENNY,343
LULU,339
RUBY,339
COOPER,330
COOKIE,328
PRINCE,328
STELLA,327
LEO,308
SASHA,306
CODY,305
RILEY,299
ROXY,294
JAKE,286
SHADOW,283
BUSTER,282
SADIE,281
BABY,277
OSCAR,276
BEAR,272
ZOE,269
ROSIE,262
SAMMY,262
ZOEY,254
BRUNO,253
HENRY,249
SANDY,236
PEPPER,235
DUKE,227
SPARKY,215
BLUE,212
DEXTER,212
GRACIE,212
KING,211
ANGEL,210
BENTLEY,204
RUSTY,204
SAM,204
HONEY,202
REX,201
ROMEO,200
BROOKLYN,194
ZEUS,194
PEANUT,192
MICKEY,191
LOUIE,190
BENJI,189
BROWNIE,189
DIAMOND,189
ROCCO,188
WINSTON,187
SCOUT,186
HARLEY,183
FRANKIE,182
EMMA,179
MISSY,176
JASPER,172
SIMBA,169
LEXI,168
TYSON,168
JACKSON,164
LAYLA,164
SNOOPY,164
MAXIMUS,163
MADISON,161
GEORGE,158
LILLY,157
MURPHY,154
NALA,154
PRECIOUS,154
TUCKER,154
JOEY,153
OLIVE,152
MARLEY,151
MAYA,151
HUDSON,150
GIGI,149
GUS,149
ABBY,148
BANDIT,147
FLUFFY,146
JAX,145
CASEY,144
CHESTER,144
BAXTER,143
SPIKE,143
MIMI,141
PEBBLES,141
DIESEL,139
MINNIE,138
BENNY,133
ELLIE,132
ELLA,131
MOCHA,131
CHICO,130
ACE,128
HUNTER,128
CHEWY,126
HARRY,126
HAZEL,126
ROXIE,126
BELLE,124
HOLLY,124
NINA,124
REMY,124
SAMANTHA,119
PHOEBE,116
FOXY,113
SUGAR,113
OTIS,112
ZIGGY,111
NENA,106
ELVIS,105
HAPPY,105
RUFUS,105
BRANDY,104
COCOA,104
OLLIE,104
ARCHIE,103
CHASE,103
PETEY,103
TIGER,103
DAKOTA,101
HERSHEY,101
RUDY,101
SAMSON,101
,101
TRIXIE,100
LUKE,99
PENELOPE,99
SMOKEY,99
SUNNY,99
CHANCE,98
LOKI,97
GUCCI,96
WINNIE,96
APOLLO,95
BISCUIT,95
MILLIE,95
MR.,95
CHAMP,94
COSMO,94
PARKER,94
ANNIE,93
BOOMER,93
BRUCE,92
KIKI,92
CASPER,91
JACKIE,91
ROSCOE,91
SCOOBY,91
SONNY,91
JUNIOR,90
PIPER,90
THOR,89
MISTY,88
BOBBY,87
DIXIE,87
SNOWBALL,87
WILLOW,87
BOSCO,86
MUFFIN,86
NIKKI,86
ONYX,85
SHEBA,85
FIONA,84
LUCAS,84
BONNIE,83
LITTLE,83
LOGAN,83
NIKO,83
KATIE,82
MADDIE,82
SIMON,82
SOPHIA,82
KOBE,81
IZZY,80
MAXWELL,80
SIR,80
STAR,80
BETTY,79
DINO,79
BOO,78
JESSIE,78
MIKEY,78
HANK,77
NICO,77
PATCHES,77
MASON,76
SKY,76
SPANKY,76
STORM,76
CLEO,75
LEXIE,75
LUCA,75
MONTY,75
BEAU,74
MIDNIGHT,74
OTTO,74
CALLIE,73
PARIS,73
RAMBO,73
SNOW,73
WALLY,73
CHARLEY,72
DOLLY,72
OZZY,72
TINY,72
AMBER,71
ISABELLA,71
YOGI,71
